date,open,high,low,close,adj_close,volume
2025-08-04,36.12,36.39,35.80,36.24,36.13,80242555
2025-08-05,36.38,36.61,36.13,36.47,36.36,56864800
2025-08-06,36.38,36.38,35.88,36.21,36.10,63985419
2025-08-07,38.00,38.66,37.00,37.02,36.90,183170454
2025-08-08,37.00,37.00,36.43,36.44,36.33,74280423
2025-08-11,36.49,38.20,36.49,38.01,37.89,141479671
2025-08-12,37.96,38.62,37.74,38.17,38.05,76452626
2025-08-13,38.34,38.98,37.82,38.35,38.23,105807028
2025-08-14,38.50,39.05,38.21,38.48,38.36,97923455
2025-08-15,38.10,38.82,37.98,38.59,38.47,87417002
2025-08-18,38.60,40.36,38.29,39.59,39.47,153895921
2025-08-19,39.60,39.75,38.61,39.10,38.98,108849590
2025-08-20,38.99,40.75,38.22,40.05,39.92,132784734
2025-08-21,40.10,42.43,39.81,42.19,42.06,200684428
2025-08-22,41.46,42.88,41.33,42.70,42.57,140167282
2025-08-25,43.38,44.29,42.13,42.95,42.82,152354512
2025-08-26,43.20,46.80,43.20,45.60,45.46,222321982
2025-08-27,45.02,47.17,44.90,44.98,44.84,200969020
2025-08-28,44.99,46.10,44.35,46.10,45.96,165324126
2025-08-29,46.09,47.36,45.17,45.98,45.84,173029403
2025-09-01,46.10,46.80,44.90,45.27,45.13,140621009
2025-09-02,45.08,45.59,43.50,43.80,43.66,148018338
2025-09-03,44.01,44.43,42.99,43.22,43.08,100889947
2025-09-04,43.71,45.69,43.50,44.39,44.25,200637662
2025-09-05,44.36,47.20,43.70,47.20,47.05,228191530
2025-09-08,49.09,51.92,48.78,49.75,49.59,289125512
2025-09-09,49.78,50.75,47.48,47.71,47.56,188129323
2025-09-10,46.28,48.97,45.82,48.09,47.94,201877336
2025-09-11,47.20,52.90,46.51,52.90,52.73,284214404
2025-09-12,54.20,55.66,52.46,52.71,52.55,425849206
2025-09-15,52.14,54.23,52.07,52.74,52.58,249499806
2025-09-16,52.66,54.20,52.15,52.39,52.23,200349016
2025-09-17,52.63,52.99,51.50,52.01,51.85,194955234
2025-09-18,51.50,54.94,51.10,53.11,52.94,315536216
2025-09-19,54.31,57.91,54.03,55.41,55.24,319703998
2025-09-22,60.95,60.95,60.13,60.95,60.76,90279351
2025-09-23,67.05,67.05,63.66,65.70,65.49,554123874
2025-09-24,64.23,72.20,63.70,70.20,69.98,451635559
2025-09-25,69.80,71.58,68.20,68.74,68.53,331771538
2025-09-26,68.72,68.78,64.16,64.25,64.05,332090893
2025-09-29,64.25,65.36,62.68,64.80,64.60,262852479
2025-09-30,65.40,66.38,63.76,64.69,64.49,229529053
2025-10-09,63.84,66.15,63.36,65.30,65.10,261650982
2025-10-10,64.50,64.95,60.21,60.80,60.61,260955086
2025-10-13,55.12,58.37,55.12,57.75,57.57,267290302
2025-10-14,58.80,59.97,54.55,55.01,54.84,248599086
2025-10-15,55.04,58.38,53.88,58.20,58.02,242527395
2025-10-16,58.04,61.60,57.73,59.20,59.01,256325542
2025-10-17,59.25,59.25,55.40,55.49,55.32,179240230
2025-11-04,62.50,62.84,60.06,60.54,60.35,128990576
2025-11-05,58.60,61.46,58.36,60.98,60.79,112172866
2025-11-06,60.98,61.86,59.80,61.66,61.47,132471322
2025-11-07,60.72,61.00,59.84,59.90,59.71,105363369
2025-11-10,59.50,60.20,57.21,58.40,58.22,153527579
2025-11-11,58.98,59.15,56.23,56.49,56.31,108489718
2025-11-12,56.44,58.46,56.37,57.77,57.59,135717529
2025-11-13,57.20,58.35,56.88,57.38,57.20,93995272
2025-11-14,56.66,58.23,56.10,56.51,56.33,101754426
2025-11-17,56.49,57.44,56.12,56.55,56.37,74185638
2025-11-18,56.12,57.75,55.40,56.61,56.43,105402888
2025-11-19,57.00,57.94,56.41,56.75,56.57,93532984
2025-11-20,58.10,58.20,55.68,55.75,55.58,95981221
2025-11-21,54.00,54.28,52.80,52.85,52.68,149999606
2025-11-24,53.19,53.85,52.20,53.25,53.08,95703000
2025-11-25,54.22,56.39,54.04,55.70,55.53,145075983
2025-11-26,55.32,58.85,54.91,57.60,57.42,159153919
2026-01-26,55.38,55.40,54.01,54.09,53.92,127111156
2026-01-27,54.32,54.79,52.86,53.72,53.55,122784313
2026-01-28,53.70,54.95,52.82,53.28,53.11,151194870
2026-01-29,53.00,53.13,51.73,51.89,51.73,147260590
2026-01-30,51.61,52.50,51.02,51.69,51.53,108558812
2026-02-02,51.99,53.60,51.99,52.22,52.06,138486234
2026-02-03,52.83,53.39,51.25,52.46,52.30,104663797
2026-02-04,52.01,52.05,50.65,51.90,51.74,124442380
2026-02-05,51.50,52.58,51.42,51.70,51.54,75985941
2026-02-06,51.37,52.01,50.70,51.17,51.01,72491146
2026-02-09,51.99,52.00,51.33,51.72,51.56,77530036
2026-02-10,51.69,51.98,51.37,51.69,51.53,74683050
2026-02-11,51.39,51.92,51.02,51.15,50.99,68945249
2026-02-12,51.10,51.33,50.30,50.43,50.43,97024007
2026-02-13,49.91,51.08,49.26,50.80,50.80,114492599
2026-03-13,49.31,50.28,49.22,49.33,49.33,UNKNOWN
2026-03-31,48.40,50.62,48.00,49.26,49.26,167150472
2026-04-01,50.48,51.11,49.80,50.40,50.40,110977737
2026-04-02,50.10,50.90,49.57,49.89,49.89,85965881
2026-04-03,50.30,50.38,48.64,48.80,48.80,74514475
2026-04-07,49.00,49.95,48.11,48.39,48.39,79987772
2026-04-08,49.56,52.57,49.56,52.27,52.27,201928715
2026-04-09,51.50,55.78,51.30,55.09,55.09,299603070
2026-04-10,55.42,59.18,54.90,58.18,58.18,386896937
2026-04-13,57.78,59.52,57.50,58.60,58.60,238813216
2026-04-14,59.00,60.65,58.55,59.14,59.14,243274497
2026-04-15,59.00,60.98,58.45,58.78,58.78,198003810
2026-04-16,58.76,60.65,58.00,60.45,60.45,199642241
2026-04-17,59.85,60.88,59.25,59.75,59.75,134342400
2026-04-20,62.64,65.73,60.91,65.73,65.73,392926863
2026-04-21,64.86,66.00,62.90,65.75,65.75,262573277
2026-04-22,65.39,68.69,64.60,68.03,68.03,236665585
2026-04-23,69.00,70.68,67.30,67.77,67.77,232237089
2026-06-26,67.13,67.14,67.11,67.12,67.12,1374676
